"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Blautia hydrogenotrophica","Blautia sp. Ser8","Caloramator fervidus","Clostridium botulinum","Clostridium polysaccharolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Escherichia sp. 3_2_53FAA","Eubacterium coprostanoligenes","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Ruminococcus bromii","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","all_others"
4159,2056,6591,504,0,527,1071,7329,2386,762,370,1582,1009,3156,3873,1459,444,340,1496,8889,1627,2022,2607,667,0,1544,1100,232,10906,2096,16808,253,0,0,3352,39317
78,2,6685,243,1890,13,192,4997,575,1036,116,2658,680,1782,1202,42,284,440,4006,7170,3470,5499,1234,521,1384,43,274,1041,9555,3181,13956,7048,8533,251,7452,38446
8550,4598,21,245,7180,1,1379,17829,859,1150,157,919,717,1215,0,0,883,1306,547,2769,0,7440,2019,509,9552,642,1496,9876,0,0,0,593,2008,1360,2152,41584
2783,477,1734,0,2956,703,2114,7273,356,155,5900,448,103,902,2457,1066,1,69,131,2924,5629,4455,387,4272,285,3059,1288,2912,1192,91,6266,460,1964,33,274,16973
6484,3719,13204,439,0,4,4388,1941,1028,760,138,725,1411,1806,9461,54,1838,922,1436,5375,3411,1062,1060,754,0,1352,94,113,7521,2151,22500,784,0,0,3408,39877
2638,428,1190,2441,11417,11,773,5090,3029,603,152,424,461,2212,1181,21,596,4054,662,7943,1393,7497,3198,1034,1087,9,4,4194,10026,1360,13524,643,1448,354,940,17322
6953,2660,18867,3798,0,719,1227,2474,2196,354,240,1169,797,1912,7477,197,597,1369,314,3375,2664,2390,3103,272,0,3355,75,367,11226,3495,18668,1024,0,0,1531,34983
5419,478,1267,198,1628,251,1280,8980,860,1672,188,168,919,1284,3273,19,579,1623,4052,6472,3707,8138,1096,340,1682,710,1,5304,8865,2059,15353,1908,1408,226,949,34639
1422,294,1,82,854,202,268,3296,209,217,37,1053,49,307,0,0,35,49,333,542,0,1157,262,776,579,366,527,1582,0,0,0,831,389,38,125,4856
2228,1615,930,19,3169,0,203,6817,39,286,1427,852,189,797,0,0,0,303,11,1702,0,5883,169,766,3224,775,462,3816,0,0,0,60,2024,255,706,22909
6852,258,8450,831,7719,39,22,8780,2774,423,7840,343,320,1741,4111,365,1487,90,74,3961,10520,17084,2928,4932,3412,0,1275,9863,5428,2287,16316,120,1721,98,8948,41715
3786,2117,5683,25,0,1227,655,3826,466,1582,154,911,965,563,4353,1487,483,1667,910,14629,2915,1238,1854,1554,0,276,413,25,8430,1953,13517,1305,0,0,1877,37174
2463,723,281,19,1071,418,270,4647,3158,196,2467,386,175,716,1049,1620,7,241,10,4259,2727,3345,3143,158,327,830,532,1957,3772,914,9416,195,932,45,367,15281
8789,7751,1916,423,546,26,13,14137,136,130,2420,120,195,127,461,901,19,127,25,836,2542,2932,157,1043,313,34,917,10380,4323,194,6131,86,354,95,256,17719
2839,2104,28266,909,0,1,4566,7309,885,805,78,1110,755,1846,2248,67,597,165,3505,7527,4325,2498,1192,788,0,2948,2433,144,6844,208,16095,388,0,0,452,33662
568,58,79,159,10089,10,225,11989,2022,953,403,407,1005,2461,0,0,243,1212,437,1854,0,6454,2605,359,7544,272,219,1186,2,0,0,422,1944,2274,1992,33482
15229,4765,1,1,2142,1,0,22404,59,2947,298,1672,409,676,0,0,2,1509,1793,5404,0,7414,943,921,3636,1,0,12697,0,0,0,803,697,428,77,24404
639,24,5967,2591,2808,1263,2333,4681,482,235,158,57,265,200,480,5,225,33,230,1615,1085,9206,717,270,368,2625,737,3297,2233,87,6389,468,1010,162,1322,13774
101,49,4015,133,1054,365,739,4407,354,414,304,426,323,4696,390,82,13,742,21,6185,1052,6374,1018,575,230,506,4,1204,3109,658,8368,938,635,236,643,18204
1448,1150,4191,173,1590,798,1547,2481,1382,746,176,1367,251,312,1286,17,116,184,1932,5087,2280,5723,1135,1102,1391,1204,304,2922,2717,142,5220,78,1332,426,1078,16385
42,8,2161,216,2311,10,446,2737,720,334,156,111,359,979,1928,33,30,286,579,4577,2861,1767,793,741,682,8,0,378,3293,702,6081,98,604,745,2715,17277
3469,1518,2903,139,1918,33,475,8129,1291,874,141,802,495,1710,4066,25,51,189,281,7495,2523,5638,1636,1357,707,515,95,9043,3659,383,8263,1116,1432,516,4831,25890
2850,451,2849,3,1791,3,147,11031,851,327,87,291,959,417,1290,11,718,151,32,2129,1177,5834,848,171,647,316,1773,3333,1751,151,3741,25,1302,279,386,10576
6073,4391,2033,1213,3088,72,634,9011,2424,1702,637,222,444,3091,3058,90,348,221,1712,8363,2004,8063,3582,1049,4254,1029,753,6315,10638,2340,17652,998,3961,461,2990,30827
10905,8247,7310,26,5062,2605,1572,10835,1537,1290,126,1140,698,611,4257,3,99,1415,1468,8331,2976,16338,2327,1151,2197,8,683,10574,8107,2830,17083,2190,2019,419,1750,34785
4066,2733,7612,95,0,300,731,1740,817,1032,120,521,4487,1960,2713,173,3219,237,787,8441,3473,2020,1097,876,1,629,1009,34,6025,542,10087,1356,0,0,563,42891
10173,5612,7974,797,0,3,1305,12654,1674,339,842,1007,874,1299,9835,79,851,1319,282,7117,2612,1216,3145,513,0,259,274,1,7797,2603,17423,1392,0,0,6380,29912
7184,4273,151,2,1971,0,109,6275,2,374,42,270,2,273,145,18,1,59,14,3033,742,1072,1289,389,335,632,386,8073,1999,2,3282,176,229,720,60,10934
395,389,3654,44,0,105,62,1317,1066,526,149,369,223,769,3657,72,238,350,164,5413,685,1280,1566,441,3,4,17,107,5354,961,9087,54,0,0,5319,16987
6134,1774,1724,208,1569,69,174,5822,900,404,80,199,567,716,1984,77,304,685,542,5660,2070,3561,1235,234,1738,803,761,4296,2726,456,5583,298,1193,374,547,14068
824,523,2673,63,772,311,171,1764,2110,487,162,847,2240,888,948,5,1036,905,791,7844,2264,6859,2432,1147,995,2,162,1490,6715,833,9317,1976,2364,955,970,20361
1379,1248,13789,377,0,1554,2480,5616,55,1272,58,694,99,125,4871,291,52,27,408,2262,3378,1286,547,774,0,659,408,70,1595,129,9980,4,0,0,831,26885
246,157,1886,355,1640,1761,121,5753,445,793,60,578,117,535,1744,297,42,540,587,4267,1724,4043,489,351,783,135,756,1648,3762,642,6916,1332,951,173,1157,22279
4508,4225,273,66,962,219,8,1999,3092,150,68,287,792,1032,1575,48,725,193,363,4602,872,3603,2204,257,558,988,2,5300,5225,295,7596,427,1872,429,496,10833
3319,3134,3081,1171,1978,518,161,10919,896,3051,381,59,375,159,1900,62,63,545,545,4283,1171,6436,1034,406,1117,1478,1,3613,5375,587,8459,193,2065,616,429,19803
957,951,2710,898,1761,590,502,21037,363,990,92,675,108,215,1746,28,94,133,672,2433,1395,9122,498,888,1113,2393,0,1753,4440,189,8077,944,2717,570,1073,17533
9000,4054,0,2,1953,1,0,12637,1457,1310,102,618,765,199,0,0,308,597,1356,3420,0,5173,1740,291,2668,0,0,8743,0,0,0,585,730,140,175,20864
853,161,4803,392,2409,946,93,5235,182,440,30,641,88,356,813,2628,45,65,1015,1438,1647,7195,210,438,263,1047,380,2031,549,42,2746,297,437,43,828,12270
636,436,733,64,3114,32,86,4090,1070,452,184,181,706,1564,1788,21,415,363,108,5327,761,2158,1178,533,610,12,34,1055,3323,283,6149,383,1731,376,749,20877
831,389,3129,28,0,111,436,503,852,305,119,598,454,923,1989,86,124,343,418,5290,1207,592,1063,166,4,143,221,36,3872,2256,6577,155,0,0,1090,17240
8912,1501,969,437,1579,11,986,8191,873,262,467,752,330,377,365,12,2,1635,52,2762,1293,6620,276,196,1629,156,1036,8534,2573,379,5186,126,1132,208,1699,9021
3507,2316,909,200,1299,385,26,3950,516,524,23,472,978,765,2937,167,339,70,1158,5457,1317,4597,781,527,1034,349,123,3148,2337,1946,8082,236,1214,194,3645,19410
1559,475,1083,265,3952,154,13,14122,340,1206,428,1030,172,387,0,0,187,37,2210,2606,0,5952,941,1293,877,1,652,1714,0,0,0,425,2003,130,483,23490
1438,456,3919,467,1262,353,788,8024,1090,315,208,979,1387,136,609,35,715,91,37,5429,1679,5958,1203,531,221,205,536,3523,1570,322,3584,1409,2043,150,788,17445
4592,4113,7837,1164,2556,26,45,8389,146,856,33,311,88,157,1751,43,97,280,1632,3023,1177,9292,442,497,1505,684,216,4082,1237,291,5564,131,880,686,1863,15422
6032,5214,6500,174,1,523,1474,1139,1188,868,52,1262,1027,722,3623,144,192,2641,884,5220,2568,1257,1403,422,0,833,521,23,7021,1069,11960,2150,0,0,631,33009
4833,3538,2751,305,1659,1257,106,5811,2051,1789,1118,783,743,1340,6257,27,490,273,896,10521,4599,7793,3437,968,2998,1198,530,4231,9046,3617,22081,1155,2338,1301,3957,39437
6996,5174,7119,793,3757,623,652,5483,1643,2282,219,2219,2258,902,2211,42,1968,726,732,17256,3824,10313,2595,1482,1397,55,1262,6769,6005,875,12430,2484,5329,358,739,42937
8482,6322,25,4341,9544,769,753,35001,1810,1805,127,2963,1884,533,1,0,972,275,453,5860,0,20853,2565,1180,1967,1967,1800,14023,0,0,0,1108,4144,477,4330,40229
3849,2695,0,225,5056,602,14,7648,450,1079,704,121,810,1896,0,0,620,319,216,2272,0,4498,660,367,4314,995,0,4177,0,0,0,430,1762,616,2142,18464
0,0,9801,5832,16663,9416,4333,2290,2,2297,113,1218,74,17,310,37,0,127,4136,6716,3492,24331,137,1355,518,8918,19,1293,4457,213,10413,2627,6613,19,496,53724
1153,1120,6836,85,2777,157,45,7626,271,826,39,181,252,1848,3288,37,225,76,1099,3177,1257,9476,763,496,581,384,977,1910,2187,128,5656,9,811,126,1118,19371
7515,1841,206,0,3275,1745,598,12779,2225,747,247,1072,1643,821,0,0,605,1405,641,2718,0,7165,2001,869,5123,1164,636,10023,0,0,0,983,2308,137,1601,19536
12347,2811,9379,484,0,694,156,12109,1020,569,343,245,104,322,4159,19,0,120,409,3290,1326,650,994,87,2,28,9,526,2211,58,6441,349,0,0,348,13311
4241,174,1,164,3018,937,28,9846,466,714,388,1321,488,100,0,0,0,1289,199,2887,0,4675,995,705,2988,3174,4,5765,0,0,0,2183,1998,308,1735,18476
2811,1603,9029,1731,5851,355,3911,16343,364,439,1030,136,100,664,152,159,8,321,711,3878,1312,13398,458,64,460,677,699,4871,1615,45,2820,7,520,142,278,14889
1316,780,0,39,2335,1,895,12985,2383,612,112,523,1780,325,0,0,1196,335,1681,1535,0,7522,4867,511,4126,116,0,2065,0,0,0,151,2349,266,1481,21109
1456,1043,2240,186,2622,131,216,5706,848,221,229,142,1536,700,832,1,445,288,60,4393,1747,3838,1059,661,842,348,60,1612,3417,762,6176,684,1507,528,466,14276
4433,2703,1420,870,2750,165,1435,1373,999,532,187,1960,51,308,436,5,1,205,731,3292,3653,5736,1155,1326,1207,641,57,5057,3275,200,5055,3968,3102,1638,1929,20803
2455,2085,587,45,3211,1,177,4589,426,337,701,563,471,725,2158,206,440,1312,247,3209,1303,2384,722,658,971,415,150,2837,3629,1411,7611,830,1252,270,2968,16550
2377,569,4538,41,1285,273,743,4293,279,406,50,432,83,78,1000,463,0,31,96,4479,2036,6849,627,610,1333,7178,1,2734,2728,39,5074,3,2616,175,714,17296
398,294,2428,3,2602,126,111,748,205,1529,45,133,292,558,1092,8,555,272,1133,10344,1960,3440,1141,570,1320,49,24,473,5896,898,8038,798,887,155,988,13600
1916,170,5155,10,0,6,2990,7187,956,1827,5847,1492,88,457,1276,2847,4,819,110,4163,7475,1526,647,420,0,4,0,0,4834,488,6115,405,0,0,2756,18187
60,21,6358,60,818,101,410,2367,769,370,125,66,264,174,401,93,63,544,2795,5432,3353,5165,1029,476,2042,377,3,551,3396,140,6079,357,555,213,1526,24562
165,116,1327,125,5928,734,60,5989,1794,272,237,418,687,516,0,0,93,356,140,2989,0,2918,2059,234,3869,119,48,1344,0,0,0,101,580,1527,491,21865
2334,186,446,422,4288,302,170,14026,267,390,326,173,640,383,0,0,31,534,238,3441,0,5307,484,356,1904,722,1,3008,0,0,0,187,1582,160,693,15650
5923,1222,2619,74,7513,457,640,9326,178,468,122,438,145,402,700,32,2,182,383,2894,754,2542,415,96,1362,7591,141,6930,2127,173,8499,1408,1948,83,2332,16082
2688,618,2895,614,2629,1611,1238,10551,349,465,172,243,351,928,4984,3,167,223,615,3172,861,6993,480,595,892,563,456,4394,2504,1456,7524,51,544,94,5027,20729
3272,1151,1350,88,1285,179,697,11563,72,840,124,5563,1274,400,1824,42,177,114,2723,7717,4742,9099,441,207,465,3838,48,3545,4449,364,4917,10822,3063,191,306,19704
7333,5669,4821,85,3334,7,168,3642,563,450,111,1011,459,279,142,1,143,1580,411,4976,1477,6827,545,150,391,1,707,7836,3745,1513,4372,1792,547,444,296,13973
3321,3065,6489,371,2328,295,854,4954,249,1525,23,532,283,252,369,78,197,553,3207,9763,3994,6949,485,739,488,128,895,3318,2258,107,4570,541,1259,188,381,14701
3416,2907,9,346,2664,78,66,12575,1343,451,102,81,858,60,0,0,340,152,67,1522,0,4945,1718,95,1370,435,16,3958,0,0,0,419,1301,975,319,12306
565,364,4190,112,7771,573,36,17218,1631,422,79,429,193,386,0,0,205,56,1760,3305,0,6799,1985,2472,1623,483,2162,3630,0,0,0,377,1736,384,882,24063
1062,654,2119,1375,1217,49,483,727,2482,1677,435,244,505,982,1060,813,30,287,559,6026,2135,5912,2878,640,1331,214,514,1170,6925,782,8879,311,1157,1922,1694,21144
6279,5674,3821,95,2246,1,896,3463,650,156,30,973,39,357,366,107,1,43,573,4831,2140,7323,750,1346,227,528,28,8440,1614,176,2432,1805,479,601,1662,11441
1252,825,3499,192,1987,361,307,9447,373,241,167,353,1139,1042,780,1061,911,169,498,4669,1120,5385,548,405,1469,850,15,1015,4604,1806,6117,292,1605,428,2035,14923
7921,1474,30,0,48,0,0,347,9,201,19,303,61,150,59,0,2,7,4,902,333,528,392,223,388,1,69,6949,730,244,1017,610,181,47,88,3036
0,0,1166,0,268,0,0,325,0,523,21,41,5,348,84,7,0,1,7,5132,1433,1210,667,613,752,0,0,0,1819,483,3250,172,352,151,5737,17355
1218,815,76,28,3399,364,300,3812,136,698,81,457,82,195,0,0,82,44,1004,2139,0,2684,299,600,1015,1949,968,1463,0,0,0,508,506,83,765,8511
1270,651,1200,252,1444,312,387,3267,288,506,26,791,168,93,632,29,70,113,492,3773,550,3745,601,177,262,138,7,1521,1487,176,2280,717,651,117,97,9681
536,222,614,156,443,88,6,842,421,741,165,284,188,391,768,1,126,130,53,2768,694,1433,499,114,470,40,1,977,2203,363,3877,41,679,433,582,14559
2221,214,2869,642,1918,289,304,9500,351,563,48,326,93,454,370,0,1,612,1038,3162,1358,6793,459,459,289,325,19,3314,1819,34,2574,327,592,106,400,15427
660,534,1382,41,530,641,395,2926,117,642,369,554,110,1902,1157,11,834,317,278,4407,1266,2233,396,973,693,205,531,810,3150,1382,6092,11,614,256,2493,12236
1184,995,29,78,879,342,106,1414,364,471,26,120,578,382,0,0,584,136,1051,3373,0,2321,492,623,1458,131,94,1280,0,0,0,632,1275,130,1279,14433
4711,4164,1070,108,1111,176,318,1207,2012,320,109,247,654,1388,2560,173,18,474,96,2086,958,3129,1772,561,670,272,13,3809,3007,553,6640,612,1169,1352,1478,13408
2067,1555,868,109,2051,219,206,9633,333,497,167,379,111,256,567,6,13,102,125,2113,689,2249,367,402,391,3779,17,1987,2149,405,3151,307,514,352,270,9811
1706,404,1140,113,1050,288,244,4111,1075,815,65,340,279,1488,633,4,34,811,119,4771,1228,2406,1680,466,183,325,146,2079,4000,753,4392,650,1461,250,637,13169
1199,1162,1130,2833,3529,1,1777,21775,42,1532,217,296,17,2093,1623,11,2061,14,882,5850,969,11759,151,1309,330,0,1,2398,7149,527,9432,857,524,146,118,22773
1845,483,1037,51,1266,33,265,4245,1395,1485,327,938,746,675,1546,1,50,283,134,6233,1293,3357,1362,593,297,1219,553,2281,3869,784,5932,1358,2949,95,673,16635
2245,2033,5039,86,2134,143,320,10733,198,739,60,1946,48,44,2325,7,34,24,1023,3413,1989,6153,222,1271,230,1020,741,2111,2081,189,5922,4240,1829,207,482,19414
1848,1812,5647,371,2210,135,513,5159,200,539,64,797,13,51,2374,3,33,266,1973,4230,1829,6124,244,206,210,1020,5,1800,2108,66,5795,3757,1520,150,471,17088
