sample_name,mgrast_id,biome,collection_date,country,env_package,feature,latitude,location,longitude,material,collection_time,collection_timezone,continent,sample_id
EM223,mgs69497,terrestrial biome,2009-09-03,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM223-T0
EM224,mgs69500,terrestrial biome,2009-09-03,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:30:00,UTC,europe,EM224-T0
EM227,mgs69503,terrestrial biome,2009-09-17,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:30:00,UTC,europe,EM227-T0
EM228,mgs69506,terrestrial biome,2009-09-03,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:30:00,UTC,europe,EM228-T0
EM229,mgs69509,terrestrial biome,2009-09-07,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,23:00:00,UTC,europe,EM229-T0
EM230,mgs69512,terrestrial biome,2009-09-08,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM230-T0
EM231,mgs69515,terrestrial biome,2009-09-10,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,06:30:00,UTC,europe,EM231-T0
EM232,mgs69518,terrestrial biome,2009-09-14,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,19:00:00,UTC,europe,EM232-T0
EM233,mgs69521,terrestrial biome,2009-09-22,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:30:00,UTC,europe,EM233-T0
EM234,mgs69524,terrestrial biome,2009-09-29,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,14:30:00,UTC,europe,EM234-T0
EM235,mgs69527,terrestrial biome,2009-09-22,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM235-T0
EM237,mgs69530,terrestrial biome,2009-10-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:30:00,UTC,europe,EM237-T0
EM238,mgs69533,terrestrial biome,2009-10-07,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,14:00:00,UTC,europe,EM238-T0
EM239,mgs69536,terrestrial biome,2009-09-28,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EM239-T0
EM240,mgs69539,terrestrial biome,2009-10-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:45:00,UTC,europe,EM240-T0
EM241,mgs69542,terrestrial biome,2009-10-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:00:00,UTC,europe,EM241-T0
EM242,mgs69545,terrestrial biome,2009-09-30,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EM242-T0
EM243,mgs69548,terrestrial biome,2009-09-30,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,06:30:00,UTC,europe,EM243-T0
EM244,mgs69551,terrestrial biome,2009-10-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,12:00:00,UTC,europe,EM244-T0
EM245,mgs69554,terrestrial biome,2009-10-06,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM245-T0
EM247,mgs69557,terrestrial biome,2009-10-08,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:30:00,UTC,europe,EM247-T0
EM248,mgs69560,terrestrial biome,2009-10-09,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM248-T0
EM251,mgs69563,terrestrial biome,2009-10-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:45:00,UTC,europe,EM251-T0
EM252,mgs69566,terrestrial biome,2009-10-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,12:45:00,UTC,europe,EM252-T0
EM253,mgs69569,terrestrial biome,2009-10-16,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,11:00:00,UTC,europe,EM253-T0
EM254,mgs69572,terrestrial biome,2009-10-16,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,03:00:00,UTC,europe,EM254-T0
EM255,mgs69575,terrestrial biome,2009-10-20,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,11:30:00,UTC,europe,EM255-T0
EM257,mgs69578,terrestrial biome,2009-10-21,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM257-T0
EM259,mgs69581,terrestrial biome,2009-10-22,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:30:00,UTC,europe,EM259-T0
EM260,mgs69584,terrestrial biome,2009-11-02,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,11:00:00,UTC,europe,EM260-T0
EM261,mgs69587,terrestrial biome,2009-11-05,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:30:00,UTC,europe,EM261-T0
EM262,mgs69590,terrestrial biome,2009-11-18,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:30:00,UTC,europe,EM262-T0
EM263,mgs69593,terrestrial biome,2009-11-18,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:45:00,UTC,europe,EM263-T0
EM264,mgs69596,terrestrial biome,2009-11-19,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM264-T0
EM265,mgs69599,terrestrial biome,2009-11-19,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM265-T0
EM268,mgs69602,terrestrial biome,2009-11-23,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM268-T0
EM269,mgs69605,terrestrial biome,2009-12-02,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM269-T0
EM270,mgs69608,terrestrial biome,2009-12-10,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:30:00,UTC,europe,EM270-T0
EM271,mgs69611,terrestrial biome,2009-12-07,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,20:00:00,UTC,europe,EM271-T0
EM272,mgs69614,terrestrial biome,2009-12-09,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,01:25:00,UTC,europe,EM272-T0
EM273,mgs69617,terrestrial biome,2009-12-10,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:30:00,UTC,europe,EM273-T0
EM274,mgs69620,terrestrial biome,2010-01-18,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,13:45:00,UTC,europe,EM274-T0
EM275,mgs69623,terrestrial biome,2009-02-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,23:30:00,UTC,europe,EM275-T0
EM276,mgs69626,terrestrial biome,2010-01-26,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM276-T0
EM277,mgs69629,terrestrial biome,2010-01-24,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,15:00:00,UTC,europe,EM277-T0
EM278,mgs69632,terrestrial biome,2010-02-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:30:00,UTC,europe,EM278-T0
EM279,mgs69635,terrestrial biome,2010-02-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM279-T0
EM282,mgs69638,terrestrial biome,2010-02-10,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EM282-T0
EM283,mgs69641,terrestrial biome,2010-02-08,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,17:00:00,UTC,europe,EM283-T0
EM284,mgs69644,terrestrial biome,2010-02-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM284-T0
EM286,mgs69647,terrestrial biome,2010-03-09,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:30:00,UTC,europe,EM286-T0
EM291,mgs69650,terrestrial biome,2010-03-11,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:30:00,UTC,europe,EM291-T0
EM293,mgs69653,terrestrial biome,2010-03-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,14:30:00,UTC,europe,EM293-T0
EM318,mgs69656,terrestrial biome,2010-05-17,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,15:00:00,UTC,europe,EM318-T0
EM319,mgs69659,terrestrial biome,2010-06-17,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:30:00,UTC,europe,EM319-T0
EM320,mgs69662,terrestrial biome,2010-05-24,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:30:00,UTC,europe,EM320-T0
EM321,mgs69665,terrestrial biome,2010-05-25,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:30:00,UTC,europe,EM321-T0
EM323,mgs69668,terrestrial biome,2010-06-09,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,06:00:00,UTC,europe,EM323-T0
EM326,mgs69671,terrestrial biome,2010-05-31,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,15:30:00,UTC,europe,EM326-T0
EM327,mgs69674,terrestrial biome,2010-06-08,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EM327-T0
EM328,mgs69677,terrestrial biome,2010-06-19,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EM328-T0
EM330,mgs69680,terrestrial biome,2010-06-23,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,14:45:00,UTC,europe,EM330-T0
EM334,mgs69683,terrestrial biome,2010-06-30,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM334-T0
EM337,mgs69686,terrestrial biome,2010-07-13,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,16:00:00,UTC,europe,EM337-T0
EM338,mgs69689,terrestrial biome,2010-09-02,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,12:30:00,UTC,europe,EM338-T0
EM350,mgs69692,terrestrial biome,2010-09-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:30:00,UTC,europe,EM350-T0
EM351,mgs69695,terrestrial biome,2010-09-16,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:30:00,UTC,europe,EM351-T0
EM354,mgs69698,terrestrial biome,2010-07-30,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:30:00,UTC,europe,EM354-T0
EM355,mgs69701,terrestrial biome,2010-10-04,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:30:00,UTC,europe,EM355-T0
EM356,mgs69704,terrestrial biome,2010-11-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM356-T0
EM357,mgs69707,terrestrial biome,2010-10-04,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:30:00,UTC,europe,EM357-T0
EM358,mgs69710,terrestrial biome,2010-10-04,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM358-T0
EM361,mgs69713,terrestrial biome,2010-10-28,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:30:00,UTC,europe,EM361-T0
EM363,mgs69716,terrestrial biome,2010-10-19,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,04:00:00,UTC,europe,EM363-T0
EM364,mgs69719,terrestrial biome,2010-11-09,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:30:00,UTC,europe,EM364-T0
EM365,mgs69722,terrestrial biome,2010-11-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM365-T0
EM366,mgs69725,terrestrial biome,2010-11-18,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,14:00:00,UTC,europe,EM366-T0
EMc01,mgs69728,terrestrial biome,2009-12-14,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc01
EMc02,mgs69731,terrestrial biome,2009-12-14,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc02
EMc03,mgs69734,terrestrial biome,2009-12-14,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc03
EMc04,mgs69737,terrestrial biome,2009-12-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc04
EMc05,mgs69740,terrestrial biome,2009-12-16,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc05
EMc06,mgs69743,terrestrial biome,2009-12-16,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc06
EMc07,mgs69746,terrestrial biome,2009-12-17,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc07
EMc08,mgs69749,terrestrial biome,2010-01-05,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc08
EMc09,mgs69752,terrestrial biome,2010-01-07,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc09
EMc10,mgs69755,terrestrial biome,2010-01-12,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc10
EMc11,mgs69758,terrestrial biome,2010-01-12,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc11
EMc12,mgs69761,terrestrial biome,2010-01-12,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc12
EMc13,mgs69764,terrestrial biome,2010-01-18,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc13
