sample_name,mgrast_id,metagenome_id,metagenome_name,investigation_type,seq_meth,target_gene
EM012,mgl69238,mgm4495052.3,EM012-T0,mimarks-survey,454,
EM015,mgl69241,mgm4495053.3,EM015-T0,mimarks-survey,454,
EM017,mgl69244,mgm4495054.3,EM017-T0,mimarks-survey,454,
EM041,mgl69247,mgm4495055.3,EM041-T0,mimarks-survey,454,
EM044,mgl69250,mgm4495056.3,EM044-T0,mimarks-survey,454,
EM047,mgl69253,mgm4495057.3,EM047-T6,mimarks-survey,454,
EM049,mgl69256,mgm4495058.3,EM049-T6,mimarks-survey,454,
EM053,mgl69259,mgm4495059.3,EM053-T6,mimarks-survey,454,
EM054,mgl69262,mgm4495060.3,EM054-T6,mimarks-survey,454,
EM055,mgl69265,mgm4495061.3,EM055-T6,mimarks-survey,454,
EM059,mgl69268,mgm4495062.3,EM059-T6,mimarks-survey,454,
EM060,mgl69271,mgm4495063.3,EM060-T0,mimarks-survey,454,
EM071,mgl69274,mgm4495064.3,EM071-T0,mimarks-survey,454,
EM072,mgl69277,mgm4495065.3,EM072-T6,mimarks-survey,454,
EM073,mgl69280,mgm4495066.3,EM073-T6,mimarks-survey,454,
EM081,mgl69283,mgm4495067.3,EM081-T0,mimarks-survey,454,
EM082,mgl69286,mgm4495068.3,EM082-T0,mimarks-survey,454,
EM084,mgl69289,mgm4495069.3,EM084-T3,mimarks-survey,454,
EM089,mgl69292,mgm4495070.3,EM089-T0,mimarks-survey,454,
EM093,mgl69295,mgm4495071.3,EM093-T6,mimarks-survey,454,
EM094,mgl69298,mgm4495072.3,EM094-T0,mimarks-survey,454,
EM095,mgl69301,mgm4495073.3,EM095-T0,mimarks-survey,454,
EM096,mgl69304,mgm4495074.3,EM096-T3,mimarks-survey,454,
EM100,mgl69307,mgm4495075.3,EM100-T6,mimarks-survey,454,
EM102,mgl69310,mgm4495076.3,EM102-T0,mimarks-survey,454,
EM105,mgl69313,mgm4495077.3,EM105-T3,mimarks-survey,454,
EM106,mgl69316,mgm4495078.3,EM106-T3,mimarks-survey,454,
EM107,mgl69319,mgm4495079.3,EM107-T3,mimarks-survey,454,
EM109,mgl69322,mgm4495080.3,EM109-T3,mimarks-survey,454,
EM110,mgl69325,mgm4495081.3,EM110-T3,mimarks-survey,454,
EM119,mgl69328,mgm4495082.3,EM119-T3,mimarks-survey,454,
EM120,mgl69331,mgm4495083.3,EM120-T3,mimarks-survey,454,
EM122,mgl69334,mgm4495084.3,EM122-T3,mimarks-survey,454,
EM133,mgl69337,mgm4495085.3,EM133-T3,mimarks-survey,454,
EM134,mgl69340,mgm4495086.3,EM134-T3,mimarks-survey,454,
EM136,mgl69343,mgm4495087.3,EM136-T0,mimarks-survey,454,
EM138,mgl69346,mgm4495088.3,EM138-T3,mimarks-survey,454,
EM142,mgl69349,mgm4495089.3,EM142-T3,mimarks-survey,454,
EM143,mgl69352,mgm4495090.3,EM143-T3,mimarks-survey,454,
EM144,mgl69355,mgm4495091.3,EM144-T0,mimarks-survey,454,
EM150,mgl69358,mgm4495092.3,EM150-T0,mimarks-survey,454,
EM157,mgl69361,mgm4495093.3,EM157-T3,mimarks-survey,454,
EM158,mgl69364,mgm4495094.3,EM158-T0,mimarks-survey,454,
EM159,mgl69367,mgm4495095.3,EM159-T0,mimarks-survey,454,
EM161,mgl69370,mgm4495096.3,EM161-T3,mimarks-survey,454,
EM166,mgl69373,mgm4495097.3,EM166-T0,mimarks-survey,454,
EM168,mgl69376,mgm4495098.3,EM168-T3,mimarks-survey,454,
EM169,mgl69379,mgm4495099.3,EM169-T0,mimarks-survey,454,
EM171,mgl69382,mgm4495100.3,EM171-T0,mimarks-survey,454,
EM172,mgl69385,mgm4495101.3,EM172-T0,mimarks-survey,454,
EM175,mgl69388,mgm4495102.3,EM175-T0,mimarks-survey,454,
EM176,mgl69391,mgm4495103.3,EM176-T0,mimarks-survey,454,
EM177,mgl69394,mgm4495104.3,EM177-T0,mimarks-survey,454,
EM178,mgl69397,mgm4495105.3,EM178-T0,mimarks-survey,454,
EM179,mgl69400,mgm4495106.3,EM179-T0,mimarks-survey,454,
EM181,mgl69403,mgm4495107.3,EM181-T0,mimarks-survey,454,
EM182,mgl69406,mgm4495108.3,EM182-T0,mimarks-survey,454,
EM183,mgl69409,mgm4495109.3,EM183-T3,mimarks-survey,454,
EM185,mgl69412,mgm4495110.3,EM185-T0,mimarks-survey,454,
EM187,mgl69415,mgm4495111.3,EM187-T0,mimarks-survey,454,
EM188,mgl69418,mgm4495112.3,EM188-T0,mimarks-survey,454,
EM189,mgl69421,mgm4495113.3,EM189-T0,mimarks-survey,454,
EM190,mgl69424,mgm4495114.3,EM190-T0,mimarks-survey,454,
EM191,mgl69427,mgm4495115.3,EM191-T0,mimarks-survey,454,
EM192,mgl69430,mgm4495116.3,EM192-T0,mimarks-survey,454,
EM193,mgl69433,mgm4495117.3,EM193-T0,mimarks-survey,454,
EM195,mgl69436,mgm4495118.3,EM195-T0,mimarks-survey,454,
EM197,mgl69439,mgm4495119.3,EM197-T0,mimarks-survey,454,
EM198,mgl69442,mgm4495120.3,EM198-T0,mimarks-survey,454,
EM199,mgl69445,mgm4495121.3,EM199-T0,mimarks-survey,454,
EM203,mgl69448,mgm4495122.3,EM203-T0,mimarks-survey,454,
EM204,mgl69451,mgm4495123.3,EM204-T0,mimarks-survey,454,
EM205,mgl69454,mgm4495124.3,EM205-T0,mimarks-survey,454,
EM206,mgl69457,mgm4495125.3,EM206-T0,mimarks-survey,454,
EM207,mgl69460,mgm4495126.3,EM207-T0,mimarks-survey,454,
EM208,mgl69463,mgm4495127.3,EM208-T0,mimarks-survey,454,
EM210,mgl69466,mgm4495128.3,EM210-T0,mimarks-survey,454,
EM211,mgl69469,mgm4495129.3,EM211-T0,mimarks-survey,454,
EM212,mgl69472,mgm4495130.3,EM212-T0,mimarks-survey,454,
EM213,mgl69475,mgm4495131.3,EM213-T0,mimarks-survey,454,
EM214,mgl69478,mgm4495132.3,EM214-T0,mimarks-survey,454,
EM215,mgl69481,mgm4495133.3,EM215-T0,mimarks-survey,454,
EM217,mgl69484,mgm4495134.3,EM217-T0,mimarks-survey,454,
EM219,mgl69487,mgm4495135.3,EM219-T0,mimarks-survey,454,
EM220,mgl69490,mgm4495136.3,EM220-T0,mimarks-survey,454,
EM221,mgl69493,mgm4495137.3,EM221-T0,mimarks-survey,454,
EM222,mgl69496,mgm4495138.3,EM222-T0,mimarks-survey,454,
EM223,mgl69499,mgm4495139.3,EM223-T0,mimarks-survey,454,
EM224,mgl69502,mgm4495140.3,EM224-T0,mimarks-survey,454,
EM227,mgl69505,mgm4495141.3,EM227-T0,mimarks-survey,454,
EM228,mgl69508,mgm4495142.3,EM228-T0,mimarks-survey,454,
EM229,mgl69511,mgm4495143.3,EM229-T0,mimarks-survey,454,
EM230,mgl69514,mgm4495144.3,EM230-T0,mimarks-survey,454,
EM231,mgl69517,mgm4495145.3,EM231-T0,mimarks-survey,454,
EM232,mgl69520,mgm4495146.3,EM232-T0,mimarks-survey,454,
EM233,mgl69523,mgm4495147.3,EM233-T0,mimarks-survey,454,
EM234,mgl69526,mgm4495148.3,EM234-T0,mimarks-survey,454,
EM235,mgl69529,mgm4495149.3,EM235-T0,mimarks-survey,454,
EM237,mgl69532,mgm4495150.3,EM237-T0,mimarks-survey,454,
EM238,mgl69535,mgm4495151.3,EM238-T0,mimarks-survey,454,
EM239,mgl69538,mgm4495152.3,EM239-T0,mimarks-survey,454,
EM240,mgl69541,mgm4495153.3,EM240-T0,mimarks-survey,454,
EM241,mgl69544,mgm4495154.3,EM241-T0,mimarks-survey,454,
EM242,mgl69547,mgm4495155.3,EM242-T0,mimarks-survey,454,
EM243,mgl69550,mgm4495156.3,EM243-T0,mimarks-survey,454,
EM244,mgl69553,mgm4495157.3,EM244-T0,mimarks-survey,454,
EM245,mgl69556,mgm4495158.3,EM245-T0,mimarks-survey,454,
EM247,mgl69559,mgm4495159.3,EM247-T0,mimarks-survey,454,
EM248,mgl69562,mgm4495160.3,EM248-T0,mimarks-survey,454,
EM251,mgl69565,mgm4495161.3,EM251-T0,mimarks-survey,454,
EM252,mgl69568,mgm4495162.3,EM252-T0,mimarks-survey,454,
EM253,mgl69571,mgm4495163.3,EM253-T0,mimarks-survey,454,
EM254,mgl69574,mgm4495164.3,EM254-T0,mimarks-survey,454,
EM255,mgl69577,mgm4495165.3,EM255-T0,mimarks-survey,454,
EM257,mgl69580,mgm4495166.3,EM257-T0,mimarks-survey,454,
EM259,mgl69583,mgm4495167.3,EM259-T0,mimarks-survey,454,
EM260,mgl69586,mgm4495168.3,EM260-T0,mimarks-survey,454,
EM261,mgl69589,mgm4495169.3,EM261-T0,mimarks-survey,454,
EM262,mgl69592,mgm4495170.3,EM262-T0,mimarks-survey,454,
EM263,mgl69595,mgm4495171.3,EM263-T0,mimarks-survey,454,
EM264,mgl69598,mgm4495172.3,EM264-T0,mimarks-survey,454,
EM265,mgl69601,mgm4495173.3,EM265-T0,mimarks-survey,454,
EM268,mgl69604,mgm4495174.3,EM268-T0,mimarks-survey,454,
EM269,mgl69607,mgm4495175.3,EM269-T0,mimarks-survey,454,
EM270,mgl69610,mgm4495176.3,EM270-T0,mimarks-survey,454,
EM271,mgl69613,mgm4495177.3,EM271-T0,mimarks-survey,454,
EM272,mgl69616,mgm4495178.3,EM272-T0,mimarks-survey,454,
EM273,mgl69619,mgm4495179.3,EM273-T0,mimarks-survey,454,
EM274,mgl69622,mgm4495180.3,EM274-T0,mimarks-survey,454,
EM275,mgl69625,mgm4495181.3,EM275-T0,mimarks-survey,454,
EM276,mgl69628,mgm4495182.3,EM276-T0,mimarks-survey,454,
EM277,mgl69631,mgm4495183.3,EM277-T0,mimarks-survey,454,
EM278,mgl69634,mgm4495184.3,EM278-T0,mimarks-survey,454,
EM279,mgl69637,mgm4495185.3,EM279-T0,mimarks-survey,454,
EM282,mgl69640,mgm4495186.3,EM282-T0,mimarks-survey,454,
EM283,mgl69643,mgm4495187.3,EM283-T0,mimarks-survey,454,
EM284,mgl69646,mgm4495188.3,EM284-T0,mimarks-survey,454,
EM286,mgl69649,mgm4495189.3,EM286-T0,mimarks-survey,454,
EM291,mgl69652,mgm4495190.3,EM291-T0,mimarks-survey,454,
EM293,mgl69655,mgm4495191.3,EM293-T0,mimarks-survey,454,
EM318,mgl69658,mgm4495192.3,EM318-T0,mimarks-survey,454,
EM319,mgl69661,mgm4495193.3,EM319-T0,mimarks-survey,454,
EM320,mgl69664,mgm4495194.3,EM320-T0,mimarks-survey,454,
EM321,mgl69667,mgm4495195.3,EM321-T0,mimarks-survey,454,
EM323,mgl69670,mgm4495196.3,EM323-T0,mimarks-survey,454,
EM326,mgl69673,mgm4495197.3,EM326-T0,mimarks-survey,454,
EM327,mgl69676,mgm4495198.3,EM327-T0,mimarks-survey,454,
EM328,mgl69679,mgm4495199.3,EM328-T0,mimarks-survey,454,
EM330,mgl69682,mgm4495200.3,EM330-T0,mimarks-survey,454,
EM334,mgl69685,mgm4495201.3,EM334-T0,mimarks-survey,454,
EM337,mgl69688,mgm4495202.3,EM337-T0,mimarks-survey,454,
EM338,mgl69691,mgm4495203.3,EM338-T0,mimarks-survey,454,
EM350,mgl69694,mgm4495204.3,EM350-T0,mimarks-survey,454,
EM351,mgl69697,mgm4495205.3,EM351-T0,mimarks-survey,454,
EM354,mgl69700,mgm4495206.3,EM354-T0,mimarks-survey,454,
EM355,mgl69703,mgm4495207.3,EM355-T0,mimarks-survey,454,
EM356,mgl69706,mgm4495208.3,EM356-T0,mimarks-survey,454,
EM357,mgl69709,mgm4495209.3,EM357-T0,mimarks-survey,454,
EM358,mgl69712,mgm4495210.3,EM358-T0,mimarks-survey,454,
EM361,mgl69715,mgm4495211.3,EM361-T0,mimarks-survey,454,
EM363,mgl69718,mgm4495212.3,EM363-T0,mimarks-survey,454,
EM364,mgl69721,mgm4495213.3,EM364-T0,mimarks-survey,454,
EM365,mgl69724,mgm4495214.3,EM365-T0,mimarks-survey,454,
EM366,mgl69727,mgm4495215.3,EM366-T0,mimarks-survey,454,
EMc01,mgl69730,mgm4495216.3,EMc01,mimarks-survey,454,
EMc02,mgl69733,mgm4495217.3,EMc02,mimarks-survey,454,
EMc03,mgl69736,mgm4495218.3,EMc03,mimarks-survey,454,
EMc04,mgl69739,mgm4495219.3,EMc04,mimarks-survey,454,
EMc05,mgl69742,mgm4495220.3,EMc05,mimarks-survey,454,
EMc06,mgl69745,mgm4495221.3,EMc06,mimarks-survey,454,
EMc07,mgl69748,mgm4495222.3,EMc07,mimarks-survey,454,
EMc08,mgl69751,mgm4495223.3,EMc08,mimarks-survey,454,
EMc09,mgl69754,mgm4495224.3,EMc09,mimarks-survey,454,
EMc10,mgl69757,mgm4495225.3,EMc10,mimarks-survey,454,
EMc11,mgl69760,mgm4495226.3,EMc11,mimarks-survey,454,
EMc12,mgl69763,mgm4495227.3,EMc12,mimarks-survey,454,
EMc13,mgl69766,mgm4495228.3,EMc13,mimarks-survey,454,
