"","Arthrobacter","Bacillus","Bradyrhizobium","Candidatus Koribacter","Candidatus Nitrososphaera","Candidatus Solibacter","Chthoniobacter","Hymenobacter","Micromonospora","Mycobacterium","Nitrospira","Opitutus","Paenibacillus","Pirellula","Rubrobacter","Ruminococcus","Terrimonas","all_others"
"CC12-SM-July2012",158,210,40,180,1077,129,921,49,89,37,179,68,35,70,113,130,546,633
"P24-SM-July2012",155,188,27,225,479,59,1889,72,61,96,109,63,57,105,174,104,773,1269
"PF15-LM-October2012",174,365,298,171,1074,131,1991,74,160,122,229,102,98,161,241,117,1295,1819
"CC12-WS-July2012",86,162,118,286,1024,149,2021,34,82,51,249,62,54,93,208,122,552,743
"PF32-Micro-October2012",212,171,126,203,280,112,1680,223,99,68,87,141,53,80,97,128,1416,2110
"PF41-MM-July2012",82,128,45,279,865,118,878,22,74,54,161,74,70,80,142,47,831,948
"P24-LM-October2012",88,591,63,165,880,87,1078,69,98,172,114,70,190,136,171,100,689,1675
"P24-WS-July2012",60,195,11,214,486,94,1501,63,94,68,99,63,78,118,142,59,524,1002
"CC21-LM-July2012",55,178,225,1704,453,359,709,0,56,18,253,71,67,28,88,232,490,726
"P31-LM-July2012",61,216,122,139,600,107,1332,46,106,87,97,60,93,92,229,73,581,1150
"P13-WS-October2012",84,349,30,275,682,158,2680,110,108,105,77,71,136,92,188,156,1013,1312
"PF23-MM-October2012",163,201,336,757,287,204,713,46,192,62,121,81,101,99,74,171,962,1654
"PF41-SM-October2012",119,232,138,204,641,79,1041,58,57,46,141,52,57,78,99,83,641,1085
"P46-Micro-July2012",454,183,275,589,106,207,1199,135,85,65,32,125,64,66,73,172,936,1739
"CC12-Micro-July2012",205,169,262,228,927,123,706,116,84,56,173,68,47,66,179,175,612,859
"P46-WS-October2012",134,367,421,998,120,315,921,97,71,63,38,91,121,96,80,242,1208,1602
"PF41-SM-July2012",154,142,111,213,813,89,1459,75,76,61,151,118,68,72,143,103,844,1064
"CC35-MM-July2012",62,133,90,1130,472,277,2584,37,39,21,153,39,44,41,47,132,484,748
"P13-MM-July2012",54,255,91,84,601,77,814,44,96,66,73,75,57,129,135,77,700,720
"PF41-WS-July2012",93,86,142,194,561,115,1140,37,118,68,159,63,39,93,160,91,541,1001
"PF23-WS-October2012",152,143,347,718,401,197,1655,105,106,69,157,100,75,112,107,167,1170,1793
"P24-Micro-October2012",191,372,197,427,594,135,1815,138,215,193,101,107,137,73,243,138,1168,2191
"PF23-Micro-July2012",205,198,161,623,393,152,1956,127,73,38,139,124,52,124,39,204,1383,1554
"CC43-MM-July2012",67,219,144,1173,501,243,2703,31,66,21,167,58,65,31,67,209,469,981
"CC12-SM-October2012",179,187,112,200,1092,99,1395,120,69,51,238,73,62,57,272,131,639,904
"P24-SM-October2012",94,340,244,235,390,107,1900,74,129,90,89,64,64,75,137,101,733,1433
"PF32-LM-October2012",196,272,332,193,626,95,1619,101,97,70,132,164,58,128,162,138,1619,1579
"PF15-Micro-October2012",204,169,12,110,747,70,1019,68,92,79,125,75,61,50,177,108,759,1208
"P46-MM-October2012",114,280,255,753,115,273,979,88,58,38,34,82,80,62,56,140,940,1254
"CC12-MM-October2012",177,375,141,589,1759,249,4396,130,75,75,302,86,124,164,265,219,1214,1482
"PF32-LM-July2012",72,229,41,470,755,130,2270,32,74,50,104,83,64,76,124,125,846,801
"PF41-WS-October2012",248,251,96,464,650,144,1011,60,91,35,207,35,100,67,142,123,785,1250
"PF23-WS-July2012",121,212,155,790,476,317,2242,76,67,31,115,117,82,104,76,167,1128,1673
"P13-SM-October2012",81,194,131,122,452,72,1228,55,95,79,53,51,71,42,209,89,561,786
"CC21-Micro-October2012",172,349,250,1282,918,313,1873,61,109,42,241,55,129,51,88,252,1008,1509
"P46-MM-July2012",158,360,139,1165,144,372,1578,56,83,36,31,86,116,48,56,221,983,1097
"CC12-MM-July2012",67,110,15,303,1158,166,2033,36,76,50,260,73,71,89,148,106,473,927
"P31-Micro-October2012",69,207,141,118,687,55,1066,134,83,99,69,110,49,116,231,110,1180,1198
"P46-SM-October2012",265,286,28,744,105,288,926,75,116,72,58,86,95,64,63,216,1120,1632
"CC43-MM-October2012",25,285,242,1869,1081,340,1362,30,70,31,338,62,105,68,112,290,632,738
"PF23-SM-July2012",155,146,72,463,241,104,1387,60,86,26,61,82,43,81,52,102,903,1144
"CC35-MM-October2012",146,323,217,1428,899,284,2321,115,71,29,239,58,110,54,108,207,685,1012
"P13-MM-October2012",41,174,10,98,398,67,1487,69,57,61,72,92,49,65,125,50,604,746
"PF41-Micro-July2012",199,187,114,167,518,50,602,60,52,51,77,72,36,44,103,67,628,927
"CC12-WS-October2012",86,304,0,320,1202,194,755,96,33,55,224,63,72,72,181,135,958,1053
"P24-WS-October2012",156,407,176,116,533,87,1624,156,111,101,96,56,115,110,148,129,655,1220
"CC43-Micro-July2012",222,245,299,840,480,263,2163,118,62,41,204,113,72,29,77,218,795,1073
"PF23-MM-July2012",109,195,222,583,370,212,1371,100,39,39,164,141,75,69,43,137,966,1319
"P13-SM-July2012",178,283,134,74,533,90,1134,75,100,103,78,74,74,123,186,88,784,1371
"PF15-LM-July2012",54,139,32,37,1391,29,475,43,30,69,244,34,53,117,183,65,281,663
"PF41-MM-October2012",219,309,142,369,831,132,1457,71,140,101,176,100,99,115,262,77,650,1746
"P13-Micro-July2012",209,220,131,84,522,55,1547,69,72,75,57,91,60,123,198,127,843,1229
"CC35-Micro-July2012",268,192,13,645,446,233,1508,62,81,33,154,50,65,42,59,162,520,1026
"P46-WS-July2012",182,238,228,1172,195,420,470,60,102,34,52,82,80,59,52,250,778,1185
"PF23-SM-October2012",170,211,25,511,382,145,1246,107,106,60,83,69,79,61,81,109,891,1293
"P31-LM-October2012",51,251,53,182,822,95,1377,60,96,91,98,51,77,104,224,70,729,1410
"P13-WS-July2012",99,249,0,90,675,105,823,63,101,78,87,82,80,112,196,111,807,1428
"CC21-LM-October2012",29,343,143,1428,628,225,1741,24,71,25,199,52,92,41,58,236,477,740
"P46-SM-July2012",301,234,112,822,117,246,718,60,62,43,46,61,82,54,86,167,755,1573
"P24-LM-July2012",35,284,151,1221,630,219,1901,33,141,62,116,65,119,69,119,104,627,1112
"P13-LM-October2012",139,237,165,219,467,98,1109,362,120,140,68,37,82,52,194,106,1170,2240
"CC35-LM-October2012",250,309,64,1364,596,350,793,57,67,25,217,55,93,58,96,155,620,973
"CC35-WS-October2012",188,227,0,575,239,149,1562,82,23,17,103,48,52,54,27,98,485,651
"PF15-SM-October2012",199,314,276,154,1007,79,1137,75,90,140,173,48,76,96,256,93,685,1568
"CC21-Micro-July2012",253,157,84,879,698,334,675,78,125,47,251,85,64,64,83,225,918,1477
"P31-Micro-July2012",148,137,126,78,732,78,1776,106,110,85,99,86,39,130,170,111,1062,1296
"P31-SM-July2012",168,234,44,115,672,61,1345,67,96,93,103,54,70,132,218,115,729,1326
"CC43-WS-October2012",36,455,29,1399,827,418,1917,41,60,33,237,67,123,51,87,268,617,792
"CC21-WS-October2012",40,242,66,1189,639,259,2504,35,73,22,310,98,53,77,72,223,771,965
"P46-LM-July2012",131,241,47,928,109,334,510,44,82,52,30,107,73,43,87,271,711,928
"CC12-LM-July2012",50,433,195,467,1028,229,1765,20,77,34,214,59,73,49,164,140,447,858
"PF32-MM-July2012",90,103,158,206,571,82,1346,32,60,59,152,88,51,54,104,83,831,953
"P31-WS-July2012",113,349,71,179,712,106,1334,52,106,94,119,81,88,76,216,105,865,1680
"PF41-Micro-October2012",326,176,237,281,1028,122,1539,107,153,96,179,39,68,125,202,124,1355,1957
"CC43-LM-October2012",33,310,23,1299,457,303,934,24,46,17,160,23,47,30,47,180,247,479
"PF41-LM-October2012",70,157,43,87,559,57,715,40,72,64,93,54,68,72,139,46,575,1186
"P31-SM-October2012",29,120,92,48,419,37,674,70,40,49,46,48,43,57,116,57,403,568
"P24-MM-July2012",88,291,109,280,584,131,823,51,79,94,110,79,93,125,142,114,792,1231
"CC43-Micro-October2012",114,316,25,1203,1022,374,2311,85,78,37,202,78,117,48,98,260,1102,1536
"CC21-MM-October2012",30,221,0,950,527,123,1213,26,20,0,151,21,61,0,28,134,360,436
"P31-MM-October2012",69,175,126,75,663,76,1060,57,93,65,92,83,63,112,240,29,759,1043
"PF15-MM-July2012",83,144,87,103,783,50,928,152,54,49,165,58,29,57,122,85,581,817
"PF15-WS-July2012",84,193,0,111,1159,98,1098,81,73,76,177,98,112,111,121,80,887,1004
"PF23-LM-July2012",46,216,200,799,345,263,769,0,59,38,131,41,43,33,75,174,549,741
"PF15-SM-July2012",182,178,103,199,970,101,1659,102,68,58,208,114,50,102,151,105,939,1261
"PF32-WS-October2012",181,264,156,268,422,121,2282,162,121,70,140,164,80,96,75,142,1386,2087
"P13-Micro-October2012",158,234,105,207,441,61,1538,73,189,158,90,73,101,89,350,156,770,1801
"CC35-Micro-October2012",494,444,217,1053,748,272,1901,220,94,44,201,95,118,64,134,263,1279,1782
"PF32-Micro-July2012",115,94,0,122,496,60,1362,50,19,41,78,82,46,76,77,72,869,664
"PF23-LM-October2012",190,202,99,622,414,168,920,31,188,51,120,77,75,96,97,197,706,1297
"CC21-SM-October2012",120,483,55,1360,860,370,871,55,110,45,299,83,155,72,90,346,817,1785
"CC43-SM-October2012",36,210,31,470,506,113,878,29,41,10,96,39,57,26,33,113,362,364
"P46-Micro-October2012",437,536,432,1195,163,461,976,150,101,130,46,120,164,130,137,342,1658,3265
"CC21-MM-July2012",107,210,66,1211,654,267,1802,38,58,24,313,54,58,62,100,196,536,811
"CC35-SM-October2012",415,336,257,938,766,307,1389,159,90,46,219,77,136,60,108,245,1013,1471
"PF32-WS-July2012",111,251,63,359,711,113,2408,105,99,64,187,152,67,107,129,144,1771,1715
"P31-MM-July2012",87,170,193,175,537,124,1427,20,191,56,118,73,71,163,223,127,471,1155
"CC12-Micro-October2012",264,374,145,194,1405,135,1637,251,99,89,192,96,84,76,326,178,1424,1310
"PF15-MM-October2012",111,229,201,149,1239,121,1393,88,93,67,215,79,72,106,258,90,895,1301
"PF41-LM-July2012",173,199,118,357,538,107,465,39,86,76,148,26,47,49,114,112,527,751
"PF15-WS-October2012",101,211,65,129,657,80,836,84,75,67,137,46,42,77,268,96,807,1011
"P24-MM-October2012",67,318,72,320,366,110,1505,96,131,93,73,79,99,87,113,92,552,1378
"PF32-SM-July2012",192,224,197,303,1038,125,985,91,103,52,232,85,62,104,143,159,1105,1257
"PF32-MM-October2012",139,180,75,329,567,164,1846,251,175,78,205,138,57,70,182,110,1172,1808
"CC35-SM-July2012",99,59,136,742,489,172,1637,31,19,12,121,24,38,25,30,133,408,417
"CC43-LM-July2012",35,199,55,967,401,275,1566,49,43,24,156,50,57,26,51,185,643,560
"CC35-WS-July2012",78,193,136,595,433,186,1259,35,28,11,139,45,76,28,39,113,320,411
"CC12-LM-October2012",45,481,29,110,1850,79,1441,25,96,51,216,59,91,143,322,68,237,1189
"P46-LM-October2012",141,427,336,1467,70,348,1238,230,49,45,20,51,147,67,52,196,623,1859
"PF32-SM-October2012",205,221,140,197,448,113,867,464,118,81,112,115,63,129,117,139,1697,2225
"CC21-WS-July2012",67,229,65,1122,511,290,1619,35,81,21,245,39,60,30,59,162,525,992
"PF15-Micro-July2012",182,118,37,240,852,118,848,65,61,49,193,84,47,84,109,103,857,1274
"CC43-WS-July2012",78,161,106,1076,400,255,937,23,53,29,219,47,54,62,64,142,457,1296
"P31-WS-October2012",112,328,0,275,840,97,1427,120,175,113,94,100,61,126,253,84,1192,1485
"CC35-LM-July2012",76,93,45,952,607,197,1300,23,58,22,144,16,44,33,70,138,256,475
"P13-LM-July2012",127,274,123,183,653,144,2253,79,155,106,131,66,91,85,187,130,935,2036
"CC43-SM-July2012",60,161,46,524,378,133,1550,24,44,13,165,30,60,54,43,130,292,374
"CC21-SM-July2012",148,206,141,728,486,242,579,38,104,26,196,43,62,43,75,162,499,994
"P24-Micro-July2012",154,220,38,162,341,97,1000,105,81,152,80,110,83,129,155,121,899,1365
"PF23-Micro-October2012",283,228,230,544,322,174,1136,113,121,74,122,131,71,107,93,170,1214,1940
